,Category,Message
0,not-spam,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
1,not-spam,Ok lar... Joking wif u oni...
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
3,not-spam,U dun say so early hor... U c already then say...
4,not-spam,"Nah I don't think he goes to usf, he lives around here though"
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
6,not-spam,Even my brother is not like to speak with me. They treat me like aids patent.
7,not-spam,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
8,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
10,not-spam,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
12,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
13,not-spam,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
14,not-spam,I HAVE A DATE ON SUNDAY WITH WILL!!
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
16,not-spam,Oh k...i'm watching here:)
17,not-spam,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
18,not-spam,Fine if thats the way u feel. Thats the way its gota b
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
20,not-spam,Is that seriously how you spell his name?
21,not-spam,I‘m going to try for 2 months ha ha only joking
22,not-spam,So ü pay first lar... Then when is da stock comin...
23,not-spam,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
24,not-spam,Ffffffffff. Alright no way I can meet up with you sooner?
25,not-spam,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
26,not-spam,Lol your always so convincing.
27,not-spam,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
28,not-spam,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
29,not-spam,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
30,not-spam,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
31,not-spam,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
32,not-spam,K tell me anything about you.
33,not-spam,For fear of fainting with the of all that housework you just did? Quick have a cuppa
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
35,not-spam,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
36,not-spam,"Oops, I'll let you know when my roommate's done"
37,not-spam,I see the letter B on my car
38,not-spam,Anything lor... U decide...
39,not-spam,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
40,not-spam,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
41,not-spam,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
43,not-spam,WHO ARE YOU SEEING?
44,not-spam,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
45,not-spam,No calls..messages..missed calls
46,not-spam,Didn't you get hep b immunisation in nigeria.
47,not-spam,"Fair enough, anything going on?"
